,code,smiles
0,NUDT5A-x0114_1,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1
1,NUDT5A-x0114_2,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1
2,NUDT5A-x0114_3,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1
3,NUDT5A-x0114_4,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1
4,NUDT5A-x0122_1,O=C(Nc1ccccc1)Nc1cccnc1
5,NUDT5A-x0122_2,O=C(Nc1ccccc1)Nc1cccnc1
6,NUDT5A-x0122_3,O=C(Nc1ccccc1)Nc1cccnc1
7,NUDT5A-x0122_4,O=C(Nc1ccccc1)Nc1cccnc1
8,NUDT5A-x0169_1,C[C@H]1CO[C@H](C)CN1C(=O)c1cnsn1
9,NUDT5A-x0169_2,C[C@H]1CO[C@H](C)CN1C(=O)c1cnsn1
10,NUDT5A-x0169_3,C[C@H]1CO[C@H](C)CN1C(=O)c1cnsn1
11,NUDT5A-x0169_4,C[C@H]1CO[C@H](C)CN1C(=O)c1cnsn1
12,NUDT5A-x0319_1,Cc1nsc(N2CCO[C@@H](C)[C@H]2C)n1
13,NUDT5A-x0319_2,Cc1nsc(N2CCO[C@@H](C)[C@H]2C)n1
